,u,dv,x,dx,theta,dtheta
196580,-0.893325,0,-0.065704,-0.089595,-0.171077,0.243902
196600,-0.961313,0,-0.067791,-0.09058,-0.172966,0.182927
196620,-0.968243,0,-0.070013,-0.093526,-0.174581,0.182927
196640,-0.866177,0,-0.072436,-0.099705,-0.176814,0.304878
196660,-0.931132,0,-0.074725,-0.104335,-0.179366,0.243902
196680,-0.993512,0,-0.077115,-0.109253,-0.181231,0.182927
196700,-1.000443,0,-0.079606,-0.112898,-0.183066,0.182927
196720,-0.900491,0,-0.082164,-0.115286,-0.1853,0.304878
196740,-0.918227,0,-0.084655,-0.116261,-0.188131,0.304878
196760,-0.880802,0,-0.087112,-0.117678,-0.191104,0.365854
196780,-0.902395,0,-0.089535,-0.118099,-0.194376,0.365854
196800,-1.032334,0,-0.091925,-0.116981,-0.197163,0.243902
196820,-1.153871,0,-0.09445,-0.116843,-0.198748,0.121951
196840,-1.159613,0,-0.09721,-0.119787,-0.200275,0.121951
196860,-1.161449,0,-0.100172,-0.124843,-0.201525,0.121951
196880,-1.108162,0,-0.103235,-0.131582,-0.203115,0.182927
196900,-1.058748,0,-0.106231,-0.137198,-0.205331,0.243902
196920,-1.0688,0,-0.109159,-0.140282,-0.207668,0.243902
196940,-1.029145,0,-0.112088,-0.141263,-0.210408,0.304878
196960,-0.995539,0,-0.114949,-0.13972,-0.21351,0.365854
196980,-0.966907,0,-0.117709,-0.136911,-0.217089,0.426829
197000,-1.04966,0,-0.120402,-0.133965,-0.220656,0.365854
197020,-1.020621,0,-0.123094,-0.131867,-0.224249,0.426829
197040,-1.046479,0,-0.125821,-0.130327,-0.227803,0.426829
197060,-0.967146,0,-0.128581,-0.129335,-0.232228,0.548781
197080,-1.002087,0,-0.131274,-0.12891,-0.237156,0.548781
197100,-1.195928,0,-0.133966,-0.128908,-0.241092,0.365854
197120,-1.319807,0,-0.13703,-0.132856,-0.243768,0.243902
197140,-1.328151,0,-0.140261,-0.137633,-0.245924,0.243902
197160,-1.388633,0,-0.143694,-0.144933,-0.248034,0.182927
197180,-1.389356,0,-0.147329,-0.154478,-0.249884,0.182927
197200,-1.333312,0,-0.151099,-0.165011,-0.251838,0.243902
197220,-1.286704,0,-0.154869,-0.170613,-0.254547,0.304878
197240,-1.190518,0,-0.158572,-0.174832,-0.257731,0.426829
197260,-1.264831,0,-0.162308,-0.177359,-0.261194,0.365854
197280,-1.286546,0,-0.165842,-0.1761,-0.264426,0.365854
197300,-1.308591,0,-0.16941,-0.173711,-0.267607,0.365854
197320,-1.43609,0,-0.173079,-0.173002,-0.270084,0.243902
197340,-1.500162,0,-0.177085,-0.174968,-0.272039,0.182927
197360,-1.452206,0,-0.18109,-0.179177,-0.274,0.243902
197380,-1.513527,0,-0.185231,-0.184934,-0.276146,0.182927
197400,-1.461856,0,-0.189404,-0.19083,-0.278126,0.243902
197420,-1.41503,0,-0.193646,-0.196454,-0.280723,0.304878
197440,-1.42881,0,-0.197853,-0.198559,-0.283436,0.304878
197460,-1.338302,0,-0.20196,-0.198693,-0.286968,0.426829
197480,-1.258297,0,-0.205965,-0.197152,-0.291495,0.548781
197500,-1.346127,0,-0.20987,-0.193783,-0.295857,0.487805
197520,-1.378299,0,-0.213707,-0.189716,-0.30014,0.487805
197540,-1.567652,0,-0.217645,-0.187329,-0.303252,0.304878
197560,-1.689415,0,-0.221853,-0.189021,-0.305252,0.182927
197580,-1.79933,0,-0.226296,-0.193649,-0.306332,0.060976
197600,-1.683208,0,-0.231143,-0.203613,-0.307483,0.182927
197620,-1.57367,0,-0.23599,-0.213022,-0.309863,0.304878
197640,-1.579886,0,-0.240938,-0.22343,-0.312856,0.304878
197660,-1.535146,0,-0.245751,-0.228195,-0.315831,0.365854
197680,-1.552169,0,-0.250396,-0.229185,-0.319037,0.365854
197700,-1.629995,0,-0.254974,-0.226515,-0.322305,0.304878
197720,-1.75458,0,-0.259653,-0.224555,-0.324425,0.182927
197740,-1.87113,0,-0.2645,-0.222433,-0.32551,0.060976
197760,-1.922135,0,-0.26965,-0.227357,-0.326019,0
197780,-1.858032,0,-0.275136,-0.235913,-0.326755,0.060976
197800,-1.741279,0,-0.28069,-0.245178,-0.328136,0.182927
197820,-1.636282,0,-0.286008,-0.251357,-0.330671,0.304878
197840,-1.649347,0,-0.291125,-0.253608,-0.333581,0.304878
197860,-1.667224,0,-0.296106,-0.251071,-0.336413,0.304878
197880,-1.638573,0,-0.301021,-0.243635,-0.339819,0.365854
197900,-1.771129,0,-0.30607,-0.240555,-0.342444,0.243902
197920,-1.783547,0,-0.311085,-0.238151,-0.344566,0.243902
197940,-1.848632,0,-0.316269,-0.238571,-0.346464,0.182927
197960,-1.904959,0,-0.321553,-0.241664,-0.347731,0.121951
197980,-1.901248,0,-0.32704,-0.247841,-0.3487,0.121951
198000,-1.846779,0,-0.332594,-0.252331,-0.350284,0.182927
198020,-1.848202,0,-0.338148,-0.257394,-0.352042,0.182927
198040,-1.853523,0,-0.343668,-0.261051,-0.354028,0.182927
198060,-1.803271,0,-0.349323,-0.264141,-0.356024,0.243902
198080,-1.760709,0,-0.35491,-0.265412,-0.358692,0.304878
198100,-1.832049,0,-0.360228,-0.26274,-0.361299,0.243902
198120,-1.899569,0,-0.365614,-0.261195,-0.363287,0.182927
198140,-1.907853,0,-0.371101,-0.260774,-0.364999,0.182927
198160,-1.861851,0,-0.376655,-0.259939,-0.366893,0.243902
198180,-1.818618,0,-0.382208,-0.259507,-0.369175,0.304878
198200,-1.776574,0,-0.387762,-0.261621,-0.372072,0.365854
198220,-1.791385,0,-0.39335,-0.263295,-0.37511,0.365854
198240,-1.758646,0,-0.398735,-0.262304,-0.378733,0.426829
198260,-1.730906,0,-0.403986,-0.258933,-0.382763,0.487805
198280,-1.760693,0,-0.409237,-0.255985,-0.387014,0.487805
198300,-1.736685,0,-0.414488,-0.253168,-0.391477,0.548781
198320,-1.662603,0,-0.419672,-0.250094,-0.39662,0.670732
198340,-1.64862,0,-0.424755,-0.247433,-0.40249,0.731707
198360,-1.742203,0,-0.429905,-0.24616,-0.408145,0.670732
198380,-1.782637,0,-0.434987,-0.244479,-0.413917,0.670732
198400,-1.87397,0,-0.440137,-0.243636,-0.419227,0.609756
198420,-1.854275,0,-0.445455,-0.244892,-0.424739,0.670732
198440,-1.889103,0,-0.450841,-0.24784,-0.430547,0.670732
198460,-1.921804,0,-0.456328,-0.251068,-0.436167,0.670732
198480,-1.951797,0,-0.462117,-0.25794,-0.441759,0.670732
198500,-2.089282,0,-0.467806,-0.262717,-0.446901,0.548781
198520,-2.216734,0,-0.473898,-0.270292,-0.450951,0.426829
198540,-2.174064,0,-0.480293,-0.279972,-0.454787,0.487805
198560,-2.243629,0,-0.486689,-0.28869,-0.458813,0.426829
198580,-2.415434,0,-0.493252,-0.296553,-0.461541,0.243902
198600,-2.464076,0,-0.500287,-0.309076,-0.463444,0.182927
198620,-2.407459,0,-0.507524,-0.32172,-0.465772,0.243902
198640,-2.406245,0,-0.514896,-0.330713,-0.468195,0.243902
