Timestamp,Angular position,Angular velocity
6776,-2.28515625,111.8607941
6787,-1.142578125,114.2578125
6797,0,103.8707352
6808,1.142578125,114.2578125
6818,2.28515625,114.2578125
6829,3.427734375,103.8707352
6839,4.5703125,114.2578125
6849,5.537109375,87.890625
6860,6.591796875,105.46875
6870,7.55859375,87.890625
6881,8.4375,87.890625
6891,9.228515625,79.1015625
6901,9.931640625,63.9204559
6912,10.63476563,70.3125
6922,11.16210938,47.9403419
6933,11.6015625,43.9453125
6943,12.04101563,39.9502831
6954,12.3046875,26.3671875
6964,12.48046875,17.578125
6974,12.56835938,7.990057
6985,12.56835938,0
6995,12.39257813,-15.980114
7006,12.21679688,-17.578125
7016,11.86523438,-31.960228
7027,11.51367188,-35.15625
7037,10.98632813,-52.734375
7047,10.37109375,-55.930397
7058,9.66796875,-70.3125
7068,8.876953125,-71.9105148
7079,8.0859375,-79.1015625
7089,7.20703125,-79.9005661
7100,6.240234375,-96.6796875
7110,5.185546875,-105.46875
7120,4.130859375,-95.8806839
7131,2.98828125,-114.2578125
7141,1.845703125,-103.8707352
7152,0.791015625,-105.46875
7162,-0.439453125,-111.8607941
7173,-1.58203125,-114.2578125
7183,-2.724609375,-114.2578125
7193,-3.8671875,-103.8707352
7204,-5.009765625,-114.2578125
7214,-6.064453125,-95.8806839
7225,-7.03125,-96.6796875
7235,-7.998046875,-87.890625
7246,-8.96484375,-96.6796875
7256,-9.755859375,-79.1015625
7266,-10.546875,-71.9105148
7277,-11.25,-70.3125
7287,-11.77734375,-47.9403419
7298,-12.21679688,-43.9453125
7308,-12.65625,-39.9502831
7319,-12.91992188,-26.3671875
7329,-13.09570313,-17.578125
7339,-13.18359375,-7.990057
7350,-13.09570313,8.7890625
7360,-12.91992188,15.980114
7371,-12.65625,26.3671875
7381,-12.3046875,35.15625
7392,-11.86523438,39.9502831
7402,-11.25,61.5234375
7412,-10.63476563,55.930397
7423,-9.84375,79.1015625
7433,-9.052734375,71.9105148
7444,-8.173828125,87.890625
7454,-7.20703125,96.6796875
7464,-6.15234375,95.8806839
7475,-5.09765625,105.46875
7485,-4.04296875,95.8806839
7496,-2.900390625,114.2578125
7506,-1.7578125,103.8707352
7517,-0.615234375,114.2578125
7527,0.52734375,114.2578125
7537,1.7578125,111.8607941
7548,2.8125,105.46875
7558,3.955078125,103.8707352
7569,5.009765625,105.46875
7579,5.9765625,87.890625
7590,7.03125,105.46875
7600,7.822265625,79.1015625
7610,8.701171875,79.9005661
7621,9.4921875,79.1015625
7631,10.1953125,63.9204559
7642,10.81054688,61.5234375
7652,11.25,39.9502831
7663,11.68945313,43.9453125
7673,12.04101563,35.15625
7683,12.21679688,15.980114
7694,12.3046875,8.7890625
7704,12.39257813,7.990057
7715,12.3046875,-8.7890625
7725,12.12890625,-15.980114
7736,11.86523438,-26.3671875
7746,11.51367188,-35.15625
7756,11.07421875,-39.9502831
7767,10.546875,-52.734375
7777,9.84375,-63.9204559
7788,9.228515625,-61.5234375
7798,8.4375,-71.9105148
7809,7.55859375,-87.890625
7819,6.591796875,-96.6796875
7829,5.625,-87.890625
7840,4.658203125,-96.6796875
7850,3.515625,-103.8707352
7861,2.4609375,-105.46875
7871,1.318359375,-103.8707352
7882,0.17578125,-114.2578125
7892,-0.966796875,-114.2578125
7902,-2.109375,-103.8707352
7913,-3.251953125,-114.2578125
7923,-4.306640625,-95.8806839
7934,-5.361328125,-105.46875
7944,-6.416015625,-105.46875
7955,-7.3828125,-87.890625
7965,-8.349609375,-96.6796875
7975,-9.140625,-71.9105148
7986,-9.931640625,-79.1015625
7996,-10.63476563,-63.9204559
8007,-11.25,-61.5234375
8017,-11.77734375,-52.734375
8027,-12.21679688,-39.9502831
8038,-12.56835938,-35.15625
8048,-12.74414063,-15.980114
8059,-12.91992188,-17.578125
8069,-12.91992188,0
8080,-12.74414063,17.578125
8090,-12.56835938,17.578125
8100,-12.3046875,23.970171
8111,-11.86523438,43.9453125
8121,-11.33789063,47.9403419
8132,-10.72265625,61.5234375
8142,-10.10742188,55.930397
8153,-9.31640625,79.1015625
8163,-8.4375,87.890625
8173,-7.55859375,79.9005661
8184,-6.591796875,96.6796875
8194,-5.537109375,95.8806839
8205,-4.482421875,105.46875
8215,-3.427734375,95.8806839
8226,-2.28515625,114.2578125
8236,-1.142578125,114.2578125
8246,-0.087890625,95.8806839
8257,1.0546875,114.2578125
8267,2.197265625,103.8707352
8278,3.33984375,114.2578125
8288,4.39453125,95.8806839
8299,5.361328125,96.6796875
8309,6.328125,96.6796875
8319,7.20703125,79.9005661
8330,8.0859375,87.890625
8340,8.876953125,71.9105148
8351,9.580078125,70.3125
8361,10.1953125,55.930397
8372,10.72265625,52.734375
8382,11.16210938,43.9453125
8392,11.51367188,31.960228
8403,11.86523438,35.15625
8413,12.04101563,15.980114
8424,12.12890625,8.7890625
8434,12.04101563,-7.990057
8445,11.953125,-8.7890625
8455,11.68945313,-26.3671875
8465,11.42578125,-23.970171
8476,10.98632813,-43.9453125
8486,10.546875,-39.9502831
8497,10.01953125,-52.734375
8507,9.31640625,-70.3125
8518,8.525390625,-71.9105148
8528,7.734375,-79.1015625
8538,6.85546875,-79.9005661
8549,5.888671875,-96.6796875
8559,4.921875,-87.890625
8570,3.955078125,-96.6796875
8580,2.900390625,-105.46875
8590,1.7578125,-103.8707352
8601,0.703125,-105.46875
8611,-0.439453125,-103.8707352
8622,-1.58203125,-114.2578125
8632,-2.724609375,-103.8707352
8643,-3.779296875,-105.46875
8653,-4.833984375,-105.46875
8663,-5.888671875,-95.8806839
